,id,title,price,mileage,highlight,overview
0,25000232,2020 Mercedes-Benz GLE350,"$40,998*",30K miles,"New Tires
Replaced 4 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Panoramic Sunroof, Seat Massagers, Automated Cruise Control, 4WD/AWD, Leather Seats","19 city/26 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Gray/Black |  | "
1,25433874,2013 Audi A8 L,"$22,998*",45K miles,"Cosmetic photos available
Not yet available on all cars
Take a closer look at the interior and exterior condition of this car. See Photos | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Rear Entertainment System, 4WD/AWD, Leather Seats, Navigation System, Sunroof(s)","18 city/28 hwy | 6-cyl, Supercharged Gas, 3.0L | All Wheel Drive | Automatic | Black/Tan |  | "
2,24915463,2015 Jeep Cherokee Latitude,"$14,998*",103K miles,,"22 city/31 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Black/Black |  | "
3,25515843,2022 Kia K5 LXS,"$22,998*",30K miles,,"4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | White/Black |  | "
4,25515699,2021 Chevrolet Silverado 1500 Custom,"$33,998*",25K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Apple CarPlay, Rear View Camera, Remote Start, Turbo charged engine, Bluetooth Technology","20 city | 4-cyl, Turbo Gas, 2.7L | Rear Wheel Drive | Automatic | 5.5 ft | Black/Black | None | "
5,25515819,2016 Acura TLX,"$16,998*",104K miles,"Single Owner
Reported by AutoCheck® View History Report | New Tires
Replaced 4 tires to meet our standards | Well-Equipped
Sunroof(s), Leatherette Seats, Blind Spot Monitor, Rear View Camera, Front Seat Heaters","21 city/34 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Black/Black |  | "
6,24100509,2013 Ford Mustang,"$14,998*",94K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Blind Spot Monitor, Shaker Sound System, Alloy Wheels, Rear Spoiler, Cloth Seats","19 city/29 hwy | 6-cyl, Gas, 3.7L | Automatic | Black/Black | None | "
7,24915051,2013 Ford Fusion SE,Price unavailable*,126K miles,,"4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | White/Tan |  | "
8,25306920,2015 Mini Cooper Countryman,Price unavailable*,59K miles,,"27 city/34 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | White/Black |  | "
9,25516051,2012 Nissan Altima S,"$11,998*",97K miles,,"23 city/32 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
10,25344698,2012 Cadillac CTS Premium,Price unavailable*,95K miles,"Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
A/C Seat(s), Leather Seats, Navigation System, Sunroof(s), Heated Steering Wheel | Premium Audio
BOSE Sound System","18 city/27 hwy | 6-cyl, Gas, 3.6L | Rear Wheel Drive | Automatic | Black/Black |  | "
11,24852771,2018 Jaguar E-Pace S,"$20,998*",59K miles,,"21 city/28 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Black |  | "
