body_subtype,make_model,body_type
Convertibles,Audi A5,convertible
Convertibles,Audi S5,convertible
Convertibles,BMW 128,convertible
Convertibles,BMW 228,convertible
Convertibles,BMW 230,convertible
Convertibles,BMW 428,convertible
Convertibles,BMW 430,convertible
Convertibles,BMW 435,convertible
Convertibles,BMW 440,convertible
Convertibles,BMW 640,convertible
Convertibles,BMW 650,convertible
Convertibles,BMW 840,convertible
Convertibles,BMW M235,convertible
Convertibles,BMW M240,convertible
Convertibles,BMW M4,convertible
Convertibles,BMW M440,convertible
Convertibles,BMW M8,convertible
Convertibles,BMW M850,convertible
Convertibles,Buick Cascada,convertible
Convertibles,Chevrolet Camaro,convertible
Convertibles,Chrysler 200,convertible
Convertibles,Ford Mustang,convertible
Convertibles,Jaguar XK,convertible
Convertibles,Lexus RC 350,convertible
Convertibles,Lexus RC F,convertible
Convertibles,Mercedes-Benz C300,convertible
Convertibles,Mercedes-Benz E350,convertible
Convertibles,Mercedes-Benz E400,convertible
Convertibles,Mini Cooper,convertible
Convertibles,Volkswagen Beetle,convertible
Convertibles,Volkswagen Eos,convertible
Convertibles,Volvo C70,convertible
Roadsters (2 seaters),Audi TT,convertible
Roadsters (2 seaters),Audi TTS,convertible
Roadsters (2 seaters),BMW Z4,convertible
Roadsters (2 seaters),Chevrolet Corvette,convertible
Roadsters (2 seaters),Fiat 124 Spider,convertible
Roadsters (2 seaters),Jaguar F-Type,convertible
Roadsters (2 seaters),Mazda MX-5 Miata,convertible
Roadsters (2 seaters),Mercedes-Benz SL400,convertible
Roadsters (2 seaters),Mercedes-Benz SL450,convertible
Roadsters (2 seaters),Mercedes-Benz SL55 AMG,convertible
Roadsters (2 seaters),Mercedes-Benz SL550,convertible
Roadsters (2 seaters),Mercedes-Benz SL63 AMG,convertible
Roadsters (2 seaters),Mercedes-Benz SL65 AMG,convertible
Roadsters (2 seaters),Mercedes-Benz SLC300,convertible
Roadsters (2 seaters),Mercedes-Benz SLC43 AMG,convertible
Roadsters (2 seaters),Mercedes-Benz SLK250,convertible
Roadsters (2 seaters),Mercedes-Benz SLK300,convertible
Roadsters (2 seaters),Mercedes-Benz SLK350,convertible
Roadsters (2 seaters),Mercedes-Benz SLK55 AMG,convertible
Roadsters (2 seaters),Nissan 370Z,convertible
Roadsters (2 seaters),Porsche 718 Boxster,convertible
Roadsters (2 seaters),Porsche 718 Spyder,convertible
Roadsters (2 seaters),Porsche Boxster (before 2017),convertible
Minivans,Chrysler Pacifica,van
Minivans,Chrysler Pacifica Hybrid,van
Minivans,Chrysler Town and Country,van
Minivans,Chrysler Voyager,van
Minivans,Dodge Grand Caravan,van
Minivans,Honda Odyssey,van
Minivans,Kia Carnival,van
Minivans,Kia Sedona,van
Minivans,Mazda Mazda5,van
Minivans,Nissan Quest,van
Minivans,Toyota Sienna,van
Minivans,Toyota Sienna Hybrid,van
Minivans,Volkswagen Routan,van
Vans,Chevrolet City Express,van
Vans,Ford Transit Connect,van
Vans,Mercedes-Benz Metris,van
Vans,Nissan NV 200,van
Vans,Ram Promaster City,van
Vans,Chevrolet Express 1500,van
Vans,Chevrolet Express 2500,van
Vans,Chevrolet Express 3500,van
Vans,Ford E-350,van
