,0
0,https://www.carmax.com/research/suvs
1,https://www.carmax.com/research/trucks
2,https://www.carmax.com/research/sedans
3,https://www.carmax.com/research/coupes
4,https://www.carmax.com/research/hatchbacks
5,https://www.carmax.com/research/convertibles
6,https://www.carmax.com/research/minivans-vans
7,https://www.carmax.com/research/station-wagons
8,https://www.carmax.com/research#Fuel%20type
9,https://www.carmax.com/research/electric-vehicles
10,https://www.carmax.com/research/plug-in-hybrids
11,https://www.carmax.com/research/hybrids
12,https://www.carmax.com/research/diesel-engines
13,https://www.carmax.com/research#Lifestyle
14,https://www.carmax.com/research/most-reliable-cars
15,https://www.carmax.com/research/sports-cars
16,https://www.carmax.com/research/luxury-vehicles
17,https://www.carmax.com/research/suvs/3-rows
18,https://www.carmax.com/research/best-awd-cars
19,https://www.carmax.com/research#Body%20type
